"TOKEN";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"REFTEXT";"CLASSEMENT";"ExisteDansSlayer"
"132";"              ";"@@@@@";;"Filion";;
"133";"              ";"@@@@@";;"Fitzpatrick";;
"134";"              ";"@@@@@";;"Fletcher";;
"135";"              ";"@@@@@";;"Flynn";;
"136";"              ";"@@@@@";;"Foley";;
"137";"              ";"@@@@@";;"Fontaine";;
"138";"              ";"@@@@@";;"Forest";;
"139";"              ";"@@@@@";;"Fortin";;
"14";"               ";"@@@@@";;"Bailey";;
"140";"              ";"@@@@@";;"Fournier";;
"141";"              ";"@@@@@";;"Fox";;
"142";"              ";"@@@@@";;"Francis";;
"143";"              ";"@@@@@";;"Francoeur";;
"144";"              ";"@@@@@";;"Fraser";;
"145";"              ";"@@@@@";;"Frechette";;
"146";"              ";"@@@@@";;"Freeman";;
"147";"              ";"@@@@@";;"French";;
"148";"              ";"@@@@@";;"Gagne";;
"149";"              ";"@@@@@";;"Gamache";;
"15";"               ";"@@@@@";;"Baldwin";;
"150";"              ";"@@@@@";;"Gardiner";;
"151";"              ";"@@@@@";;"Garneau";;
"152";"              ";"@@@@@";;"Gaudreau";;
"153";"              ";"@@@@@";;"Gauthier";;
"154";"              ";"@@@@@";;"Gauvin";;
"155";"              ";"@@@@@";;"Gendron";;
"156";"              ";"@@@@@";;"Genest";;
"157";"              ";"@@@@@";;"Germain";;
"158";"              ";"@@@@@";;"Gervais";;
"159";"              ";"@@@@@";;"Gignac";;
"16";"               ";"@@@@@";;"Baptista";;
"160";"              ";"@@@@@";;"Giguere";;
"161";"              ";"@@@@@";;"Gilbert";;
"162";"              ";"@@@@@";;"Gill";;
"163";"              ";"@@@@@";;"Giroux";;
"164";"              ";"@@@@@";;"Godbout";;
"165";"              ";"@@@@@";;"Goodwin";;
"166";"              ";"@@@@@";;"Gosselin";;
"167";"              ";"@@@@@";;"Goulet";;
"168";"              ";"@@@@@";;"Graham";;
"169";"              ";"@@@@@";;"Grant";;
"17";"               ";"@@@@@";;"Baril";;
"170";"              ";"@@@@@";;"Gravel";;
"171";"              ";"@@@@@";;"Green";;
"172";"              ";"@@@@@";;"Gregoire";;
"173";"              ";"@@@@@";;"Grenier";;
"174";"              ";"@@@@@";;"Griffin";;
"175";"              ";"@@@@@";;"Grondin";;
"176";"              ";"@@@@@";;"Guillemette";;
"177";"              ";"@@@@@";;"Guy";;
"178";"              ";"@@@@@";;"Hall";;
"179";"              ";"@@@@@";;"Hamelin";;
"18";"               ";"@@@@@";;"Barrette";;
"180";"              ";"@@@@@";;"Hammond";;
"181";"              ";"@@@@@";;"Hanson";;
"182";"              ";"@@@@@";;"Harding";;
"183";"              ";"@@@@@";;"Harper";;
"184";"              ";"@@@@@";;"Harrington";;
"185";"              ";"@@@@@";;"Harvey";;
"186";"              ";"@@@@@";;"Hawkins";;
"187";"              ";"@@@@@";;"Hayes";;
"188";"              ";"@@@@@";;"Hebert";;
"189";"              ";"@@@@@";;"Henderson";;
"19";"               ";"@@@@@";;"Bastien";;
"190";"              ";"@@@@@";;"Hewitt";;
"191";"              ";"@@@@@";;"Hicks";;
"192";"              ";"@@@@@";;"Higgins";;
"193";"              ";"@@@@@";;"Ho";;
"194";"              ";"@@@@@";;"Hodgson";;
"195";"              ";"@@@@@";;"Holland";;
"196";"              ";"@@@@@";;"Houle";;
"197";"              ";"@@@@@";;"Howard";;
"198";"              ";"@@@@@";;"Howell";;
"199";"              ";"@@@@@";;"Huard";;
"2";"                ";"@@@@@";;"Albert";;
"20";"               ";"@@@@@";;"Beauchamp";;
"200";"              ";"@@@@@";;"Hudson";;
"201";"              ";"@@@@@";;"Hughes";;
"202";"              ";"@@@@@";;"Hunt";;
"203";"              ";"@@@@@";;"Hunter";;
"204";"              ";"@@@@@";;"Huot";;
"205";"              ";"@@@@@";;"Hynes";;
"206";"              ";"@@@@@";;"Irvine";;
"207";"              ";"@@@@@";;"Irwin";;
"208";"              ";"@@@@@";;"Jackson";;
"209";"              ";"@@@@@";;"Jacob";;
"21";"               ";"@@@@@";;"Beauchemin";;
"210";"              ";"@@@@@";;"Jacques";;
"211";"              ";"@@@@@";;"James";;
"212";"              ";"@@@@@";;"Jamieson";;
"213";"              ";"@@@@@";;"Jarvis";;
"214";"              ";"@@@@@";;"Jenkins";;
"215";"              ";"@@@@@";;"Jensen";;
"216";"              ";"@@@@@";;"Johnson";;
"217";"              ";"@@@@@";;"Joly";;
"218";"              ";"@@@@@";;"Jones";;
"219";"              ";"@@@@@";;"Jordan";;
"22";"               ";"@@@@@";;"Beaulieu";;
"220";"              ";"@@@@@";;"Jutras";;
"221";"              ";"@@@@@";;"Kelly";;
"222";"              ";"@@@@@";;"Kennedy";;
"223";"              ";"@@@@@";;"Kent";;
"224";"              ";"@@@@@";;"Kerr";;
"225";"              ";"@@@@@";;"Kim";;
"226";"              ";"@@@@@";;"King";;
"227";"              ";"@@@@@";;"Klassen";;
"228";"              ";"@@@@@";;"Klein";;
"229";"              ";"@@@@@";;"Knight";;
"23";"               ";"@@@@@";;"Beauregard";;
"230";"              ";"@@@@@";;"Kumar";;
"231";"              ";"@@@@@";;"L'Heureux";;
"232";"              ";"@@@@@";;"Labbe";;
"233";"              ";"@@@@@";;"Laberge";;
"234";"              ";"@@@@@";;"Labrie";;
"235";"              ";"@@@@@";;"Lacasse";;
"236";"              ";"@@@@@";;"Lachance";;
"237";"              ";"@@@@@";;"Lacombe";;
"238";"              ";"@@@@@";;"Lacroix";;
"239";"              ";"@@@@@";;"Laflamme";;
"24";"               ";"@@@@@";;"Bedard";;
"240";"              ";"@@@@@";;"Lafond";;
"241";"              ";"@@@@@";;"Lafrance";;
"242";"              ";"@@@@@";;"Lajeunesse";;
"243";"              ";"@@@@@";;"Lajoie";;
"244";"              ";"@@@@@";;"Laliberte";;
"245";"              ";"@@@@@";;"Lam";;
"246";"              ";"@@@@@";;"Lamarche";;
"247";"              ";"@@@@@";;"Lamarre";;
"248";"              ";"@@@@@";;"Lamontagne";;
"249";"              ";"@@@@@";;"Landry";;
"25";"               ";"@@@@@";;"Belisle";;
"250";"              ";"@@@@@";;"Lane";;
"251";"              ";"@@@@@";;"Langlois";;
"252";"              ";"@@@@@";;"Lanthier";;
"253";"              ";"@@@@@";;"Laplante";;
"254";"              ";"@@@@@";;"Lariviere";;
"255";"              ";"@@@@@";;"Laroche";;
"256";"              ";"@@@@@";;"Larochelle";;
"257";"              ";"@@@@@";;"Larose";;
"258";"              ";"@@@@@";;"Larson";;
"259";"              ";"@@@@@";;"Latour";;
"26";"               ";"@@@@@";;"Benoit";;
"260";"              ";"@@@@@";;"Laurin";;
"261";"              ";"@@@@@";;"Lavers";;
"262";"              ";"@@@@@";;"Lavigne";;
"263";"              ";"@@@@@";;"Lavoie";;
"264";"              ";"@@@@@";;"Law";;
"265";"              ";"@@@@@";;"Lawson";;
"266";"              ";"@@@@@";;"Lebel";;
"267";"              ";"@@@@@";;"Leblond";;
"268";"              ";"@@@@@";;"Leclair";;
"269";"              ";"@@@@@";;"Lee";;
"27";"               ";"@@@@@";;"Bergeron";;
"270";"              ";"@@@@@";;"Lefebvre";;
"271";"              ";"@@@@@";;"Leger";;
"272";"              ";"@@@@@";;"Lemay";;
"273";"              ";"@@@@@";;"Leonard";;
"274";"              ";"@@@@@";;"Lepage";;
"275";"              ";"@@@@@";;"Leslie";;
"276";"              ";"@@@@@";;"Lessard";;
"277";"              ";"@@@@@";;"Letourneau";;
"278";"              ";"@@@@@";;"Levasseur";;
"279";"              ";"@@@@@";;"Levesque";;
"28";"               ";"@@@@@";;"Bernard";;
"280";"              ";"@@@@@";;"Lindsay";;
"281";"              ";"@@@@@";;"Little";;
"282";"              ";"@@@@@";;"Lizotte";;
"283";"              ";"@@@@@";;"Lloyd";;
"284";"              ";"@@@@@";;"Logan";;
"285";"              ";"@@@@@";;"Loiselle";;
"286";"              ";"@@@@@";;"Long";;
"287";"              ";"@@@@@";;"Lord";;
"288";"              ";"@@@@@";;"Lussier";;
"289";"              ";"@@@@@";;"Lynch";;
"29";"               ";"@@@@@";;"Bertrand";;
"290";"              ";"@@@@@";;"Lyons";;
"291";"              ";"@@@@@";;"Macdonald";;
"292";"              ";"@@@@@";;"Macdougall";;
"293";"              ";"@@@@@";;"Mackay";;
"294";"              ";"@@@@@";;"Maclean";;
"295";"              ";"@@@@@";;"Macleod";;
"296";"              ";"@@@@@";;"Macneil";;
"297";"              ";"@@@@@";;"Mah";;
"298";"              ";"@@@@@";;"Major";;
"299";"              ";"@@@@@";;"Manning";;
"3";"                ";"@@@@@";;"Alexander";;
"30";"               ";"@@@@@";;"Best";;
"300";"              ";"@@@@@";;"Marchand";;
"301";"              ";"@@@@@";;"Marquis";;
"302";"              ";"@@@@@";;"Marsh";;
"303";"              ";"@@@@@";;"Martin";;
"304";"              ";"@@@@@";;"Martineau";;
"305";"              ";"@@@@@";;"Mason";;
"306";"              ";"@@@@@";;"Masson";;
"307";"              ";"@@@@@";;"Mathieu";;
"308";"              ";"@@@@@";;"Matthews";;
"309";"              ";"@@@@@";;"Maxwell";;
"31";"               ";"@@@@@";;"Bishop";;
"310";"              ";"@@@@@";;"Mcarthur";;
"311";"              ";"@@@@@";;"Mcbride";;
"312";"              ";"@@@@@";;"Mccarthy";;
"313";"              ";"@@@@@";;"Mcfarlane";;
"314";"              ";"@@@@@";;"Mcintyre";;
"315";"              ";"@@@@@";;"Mckay";;
"316";"              ";"@@@@@";;"Mclaughlin";;
"317";"              ";"@@@@@";;"Mclellan";;
"318";"              ";"@@@@@";;"Mcmillan";;
"319";"              ";"@@@@@";;"Mcpherson";;
"32";"               ";"@@@@@";;"Bissonnette";;
"320";"              ";"@@@@@";;"Medeiros";;
"321";"              ";"@@@@@";;"Menard";;
"322";"              ";"@@@@@";;"Mercer";;
"323";"              ";"@@@@@";;"Meunier";;
"324";"              ";"@@@@@";;"Michaud";;
"325";"              ";"@@@@@";;"Mills";;
"326";"              ";"@@@@@";;"Mitchell";;
"327";"              ";"@@@@@";;"Moisan";;
"328";"              ";"@@@@@";;"Montcalm";;
"329";"              ";"@@@@@";;"Montgomery";;
"33";"               ";"@@@@@";;"Blackburn";;
"330";"              ";"@@@@@";;"Moreau";;
"331";"              ";"@@@@@";;"Morissette";;
"332";"              ";"@@@@@";;"Morrow";;
"333";"              ";"@@@@@";;"Morton";;
"334";"              ";"@@@@@";;"Murphy";;
"335";"              ";"@@@@@";;"Murray";;
"336";"              ";"@@@@@";;"Myers";;
"337";"              ";"@@@@@";;"Nadeau";;
"338";"              ";"@@@@@";;"Nash";;
"339";"              ";"@@@@@";;"Nelson";;
"34";"               ";"@@@@@";;"Blake";;
"340";"              ";"@@@@@";;"Newman";;
"341";"              ";"@@@@@";;"Newton";;
"342";"              ";"@@@@@";;"Nguyen";;
"343";"              ";"@@@@@";;"Nichols";;
"344";"              ";"@@@@@";;"Nickerson";;
"345";"              ";"@@@@@";;"Noel";;
"346";"              ";"@@@@@";;"Norman";;
"347";"              ";"@@@@@";;"Normand";;
"348";"              ";"@@@@@";;"O'Brien";;
"349";"              ";"@@@@@";;"O'Connor";;
"35";"               ";"@@@@@";;"Blanchet";;
"350";"              ";"@@@@@";;"O'Neill";;
"351";"              ";"@@@@@";;"Oliver";;
"352";"              ";"@@@@@";;"Olsen";;
"353";"              ";"@@@@@";;"Orr";;
"354";"              ";"@@@@@";;"Osborne";;
"355";"              ";"@@@@@";;"Ouellet";;
"356";"              ";"@@@@@";;"Ouellette";;
"357";"              ";"@@@@@";;"Ouimet";;
"358";"              ";"@@@@@";;"Owen";;
"359";"              ";"@@@@@";;"Page";;
"36";"               ";"@@@@@";;"Boisvert";;
"360";"              ";"@@@@@";;"Paquette";;
"361";"              ";"@@@@@";;"Paquin";;
"362";"              ";"@@@@@";;"Paradis";;
"363";"              ";"@@@@@";;"Park";;
"364";"              ";"@@@@@";;"Parker";;
"365";"              ";"@@@@@";;"Patel";;
"366";"              ";"@@@@@";;"Patenaude";;
"367";"              ";"@@@@@";;"Paterson";;
"368";"              ";"@@@@@";;"Patry";;
"369";"              ";"@@@@@";;"Paul";;
"37";"               ";"@@@@@";;"Bolduc";;
"370";"              ";"@@@@@";;"Pearce";;
"371";"              ";"@@@@@";;"Pellerin";;
"372";"              ";"@@@@@";;"Pelletier";;
"373";"              ";"@@@@@";;"Pepin";;
"374";"              ";"@@@@@";;"Perreault";;
"375";"              ";"@@@@@";;"Perron";;
"376";"              ";"@@@@@";;"Persaud";;
"377";"              ";"@@@@@";;"Phillips";;
"378";"              ";"@@@@@";;"Picard";;
"379";"              ";"@@@@@";;"Pigott";;
"38";"               ";"@@@@@";;"Booth";;
"380";"              ";"@@@@@";;"Pike";;
"381";"              ";"@@@@@";;"Pilon";;
"382";"              ";"@@@@@";;"Plamondon";;
"383";"              ";"@@@@@";;"Plante";;
"384";"              ";"@@@@@";;"Plouffe";;
"385";"              ";"@@@@@";;"Poitras";;
"386";"              ";"@@@@@";;"Pollock";;
"387";"              ";"@@@@@";;"Pomerleau";;
"388";"              ";"@@@@@";;"Porter";;
"389";"              ";"@@@@@";;"Potvin";;
"39";"               ";"@@@@@";;"Boucher";;
"390";"              ";"@@@@@";;"Poulin";;
"391";"              ";"@@@@@";;"Powell";;
"392";"              ";"@@@@@";;"Power";;
"393";"              ";"@@@@@";;"Pratt";;
"394";"              ";"@@@@@";;"Preston";;
"395";"              ";"@@@@@";;"Proulx";;
"396";"              ";"@@@@@";;"Provencher";;
"397";"              ";"@@@@@";;"Provost";;
"398";"              ";"@@@@@";;"Quinn";;
"399";"              ";"@@@@@";;"Racine";;
"4";"                ";"@@@@@";;"Allaire";;
"40";"               ";"@@@@@";;"Bouffard";;
"400";"              ";"@@@@@";;"Ramsay";;
"401";"              ";"@@@@@";;"Raymond";;
"402";"              ";"@@@@@";;"Reid";;
"403";"              ";"@@@@@";;"Reimer";;
"404";"              ";"@@@@@";;"Renaud";;
"405";"              ";"@@@@@";;"Rice";;
"406";"              ";"@@@@@";;"Richard";;
"407";"              ";"@@@@@";;"Richardson";;
"408";"              ";"@@@@@";;"Riley";;
"409";"              ";"@@@@@";;"Rioux";;
"41";"               ";"@@@@@";;"Boulet";;
"410";"              ";"@@@@@";;"Ritchie";;
"411";"              ";"@@@@@";;"Rivard";;
"412";"              ";"@@@@@";;"Roberge";;
"413";"              ";"@@@@@";;"Roberts";;
"414";"              ";"@@@@@";;"Robichaud";;
"415";"              ";"@@@@@";;"Robillard";;
"416";"              ";"@@@@@";;"Robitaille";;
"417";"              ";"@@@@@";;"Rochon";;
"418";"              ";"@@@@@";;"Rodgers";;
"419";"              ";"@@@@@";;"Rodrigue";;
"42";"               ";"@@@@@";;"Bourgeois";;
"420";"              ";"@@@@@";;"Rogers";;
"421";"              ";"@@@@@";;"Rondeau";;
"422";"              ";"@@@@@";;"Rose";;
"423";"              ";"@@@@@";;"Roth";;
"424";"              ";"@@@@@";;"Rousseau";;
"425";"              ";"@@@@@";;"Roussel";;
"426";"              ";"@@@@@";;"Roy";;
"427";"              ";"@@@@@";;"Ruel";;
"428";"              ";"@@@@@";;"Russell";;
"429";"              ";"@@@@@";;"Ryan";;
"43";"               ";"@@@@@";;"Bourque";;
"430";"              ";"@@@@@";;"Sabourin";;
"431";"              ";"@@@@@";;"Sampson";;
"432";"              ";"@@@@@";;"Sandhu";;
"433";"              ";"@@@@@";;"Saunders";;
"434";"              ";"@@@@@";;"Sauve";;
"435";"              ";"@@@@@";;"Savard";;
"436";"              ";"@@@@@";;"Savoie";;
"437";"              ";"@@@@@";;"Schneider";;
"438";"              ";"@@@@@";;"Schultz";;
"439";"              ";"@@@@@";;"Scott";;
"44";"               ";"@@@@@";;"Boutin";;
"440";"              ";"@@@@@";;"Shah";;
"441";"              ";"@@@@@";;"Sharp";;
"442";"              ";"@@@@@";;"Shaw";;
"443";"              ";"@@@@@";;"Sheppard";;
"444";"              ";"@@@@@";;"Sidhu";;
"445";"              ";"@@@@@";;"Simmons";;
"446";"              ";"@@@@@";;"Simoneau";;
"447";"              ";"@@@@@";;"Simpson";;
"448";"              ";"@@@@@";;"Sinclair";;
"449";"              ";"@@@@@";;"Sirois";;
"45";"               ";"@@@@@";;"Boyer";;
"450";"              ";"@@@@@";;"Smith";;
"451";"              ";"@@@@@";;"Snow";;
"452";"              ";"@@@@@";;"Soucy";;
"453";"              ";"@@@@@";;"Spencer";;
"454";"              ";"@@@@@";;"St Pierre";;
"455";"              ";"@@@@@";;"St-Jean";;
"456";"              ";"@@@@@";;"St-Louis";;
"457";"              ";"@@@@@";;"St-Onge";;
"458";"              ";"@@@@@";;"St-Pierre";;
"459";"              ";"@@@@@";;"Steele";;
"46";"               ";"@@@@@";;"Bradley";;
"460";"              ";"@@@@@";;"Stephenson";;
"461";"              ";"@@@@@";;"Stevenson";;
"462";"              ";"@@@@@";;"Stewart";;
"463";"              ";"@@@@@";;"Sullivan";;
"464";"              ";"@@@@@";;"Talbot";;
"465";"              ";"@@@@@";;"Tam";;
"466";"              ";"@@@@@";;"Tang";;
"467";"              ";"@@@@@";;"Tanguay";;
"468";"              ";"@@@@@";;"Taylor";;
"469";"              ";"@@@@@";;"Tessier";;
"47";"               ";"@@@@@";;"Brassard";;
"470";"              ";"@@@@@";;"Theriault";;
"471";"              ";"@@@@@";;"Thibault";;
"472";"              ";"@@@@@";;"Thibodeau";;
"473";"              ";"@@@@@";;"Thiessen";;
"474";"              ";"@@@@@";;"Thompson";;
"475";"              ";"@@@@@";;"Thorne";;
"476";"              ";"@@@@@";;"Todd";;
"477";"              ";"@@@@@";;"Tremblay";;
"478";"              ";"@@@@@";;"Trepanier";;
"479";"              ";"@@@@@";;"Trottier";;
"48";"               ";"@@@@@";;"Breton";;
"480";"              ";"@@@@@";;"Trudel";;
"481";"              ";"@@@@@";;"Tucker";;
"482";"              ";"@@@@@";;"Tuffin ";;
"483";"              ";"@@@@@";;"Turgeon";;
"484";"              ";"@@@@@";;"Vachon";;
"485";"              ";"@@@@@";;"Vaillancourt";;
"486";"              ";"@@@@@";;"Veillette";;
"487";"              ";"@@@@@";;"Vezina";;
"488";"              ";"@@@@@";;"Viau";;
"489";"              ";"@@@@@";;"Vigneault";;
"49";"               ";"@@@@@";;"Brisebois";;
"490";"              ";"@@@@@";;"Villeneuve";;
"491";"              ";"@@@@@";;"Vincent";;
"492";"              ";"@@@@@";;"Wagner";;
"493";"              ";"@@@@@";;"Walker";;
"494";"              ";"@@@@@";;"Wallace";;
"495";"              ";"@@@@@";;"Walters";;
"496";"              ";"@@@@@";;"Walton";;
"497";"              ";"@@@@@";;"Ward";;
"498";"              ";"@@@@@";;"Warner";;
"499";"              ";"@@@@@";;"Warren";;
"5";"                ";"@@@@@";;"Allan";;
"50";"               ";"@@@@@";;"Brodeur";;
"500";"              ";"@@@@@";;"Watson";;
"501";"              ";"@@@@@";;"Weber";;
"502";"              ";"@@@@@";;"Webster";;
"503";"              ";"@@@@@";;"Weir";;
"504";"              ";"@@@@@";;"West";;
"505";"              ";"@@@@@";;"White";;
"506";"              ";"@@@@@";;"Wiebe";;
"507";"              ";"@@@@@";;"Wilkinson";;
"508";"              ";"@@@@@";;"Williams";;
"509";"              ";"@@@@@";;"Williamson";;
"51";"               ";"@@@@@";;"Bruce";;
"510";"              ";"@@@@@";;"Winter";;
"511";"              ";"@@@@@";;"Wolfe";;
"512";"              ";"@@@@@";;"Wood";;
"513";"              ";"@@@@@";;"Wright";;
"514";"              ";"@@@@@";;"Xu";;
"515";"              ";"@@@@@";;"Young";;
"516";"              ";"@@@@@";;"Yu";;
"517";"              ";"@@@@@";;"Zhang";;
"518";"              ";"@@@@@";;"Zivanovic";;
"52";"               ";"@@@@@";;"Bruneau";;
"53";"               ";"@@@@@";;"Brunelle";;
"54";"               ";"@@@@@";;"Burke";;
"55";"               ";"@@@@@";;"Burton";;
"56";"               ";"@@@@@";;"Cadieux";;
"57";"               ";"@@@@@";;"Campeau";;
"58";"               ";"@@@@@";;"Cardinal";;
"59";"               ";"@@@@@";;"Carpenter";;
"6";"                ";"@@@@@";;"Anderson";;
"60";"               ";"@@@@@";;"Carson";;
"61";"               ";"@@@@@";;"Carter";;
"62";"               ";"@@@@@";;"Chagnon";;
"63";"               ";"@@@@@";;"Chamberland";;
"64";"               ";"@@@@@";;"Champagne";;
"65";"               ";"@@@@@";;"Chan";;
"66";"               ";"@@@@@";;"Charbonneau";;
"67";"               ";"@@@@@";;"Charlebois";;
"68";"               ";"@@@@@";;"Chartier";;
"69";"               ";"@@@@@";;"Chen";;
"7";"                ";"@@@@@";;"Andrews";;
"70";"               ";"@@@@@";;"Cheng";;
"71";"               ";"@@@@@";;"Chevalier";;
"72";"               ";"@@@@@";;"Chouinard";;
"73";"               ";"@@@@@";;"Chow";;
"74";"               ";"@@@@@";;"Christie";;
"75";"               ";"@@@@@";;"Clark";;
"76";"               ";"@@@@@";;"Cochrane";;
"77";"               ";"@@@@@";;"Cohen";;
"78";"               ";"@@@@@";;"Collins";;
"79";"               ";"@@@@@";;"Connolly";;
"8";"                ";"@@@@@";;"Armstrong";;
"80";"               ";"@@@@@";;"Cooper";;
"81";"               ";"@@@@@";;"Corbeil";;
"82";"               ";"@@@@@";;"Corriveau";;
"83";"               ";"@@@@@";;"Cossette";;
"84";"               ";"@@@@@";;"Coulombe";;
"85";"               ";"@@@@@";;"Couture";;
"86";"               ";"@@@@@";;"Craig";;
"87";"               ";"@@@@@";;"Cross";;
"88";"               ";"@@@@@";;"Cunningham";;
"89";"               ";"@@@@@";;"Cyr";;
"9";"                ";"@@@@@";;"Arsenault";;
"90";"               ";"@@@@@";;"Dagenais";;
"91";"               ";"@@@@@";;"Daniels";;
"92";"               ";"@@@@@";;"Davis";;
"93";"               ";"@@@@@";;"Dawson";;
"94";"               ";"@@@@@";;"Delorme";;
"95";"               ";"@@@@@";;"Demers";;
"96";"               ";"@@@@@";;"Derehag";;
"97";"               ";"@@@@@";;"Deschamps";;
"98";"               ";"@@@@@";;"Desmarais";;
"99";"               ";"@@@@@";;"Desrochers";;
"1";"                ";"@@@@@";;"Bartosova";;
"10";"               ";"@@@@@";;"Gaba";;
"100";"              ";"@@@@@";;"Jirik";;
"101";"              ";"@@@@@";;"Jiskra";;
"102";"              ";"@@@@@";;"Johanek";;
"103";"              ";"@@@@@";;"Jonak";;
"104";"              ";"@@@@@";;"Jonas";;
"105";"              ";"@@@@@";;"Jun";;
