"007da9d2:43152ac5:08b12881:fbb9ab51";"US";"La CIA estime que les rivalités internes à Moscou peuvent aussi bien profiter aux faucons qu'aux colombes. Devons-nous envoyer des signaux aux soviétiques pour tenter d'influencer telle ou telle faction ?";"The CIA believes that the internal rivalries in Moscow could benefit the hawks as much as the doves.\n\nShould we send signals to the Soviets to try to influence one of the factions?"
"008435a3:4f1bc208:55dedb8f:824c5ada";"US";"No units have been deployed! Please pick a unit in the #coloredtext4{REQUISITION MENU} to position the unit on the battlefield.";"No units have been deployed! Please pick a unit in the #coloredtext4{REQUISITION MENU} to position the unit on the battlefield."
"00897618:4a898112:824b5e9a:6eb0df4a";"US";"#JAP #ROK BLUE DRAGONS";"#JAP #ROK BLUE DRAGONS"
"00a2cc64:484417cd:eafef7b2:ac79a7c8";"US";"Sir, the Germans are coming with tanks and armoured support; we should place some AT guns to deal with them.";"Sir, the Germans are coming with tanks and armoured support; we should place some AT guns to deal with them."
"00a55e9d:4dd69e50:4ec006bc:81d52f1b";"US";"June 22nd-27th, 1987. Within a few hours, the first lines of defense are overwhelmed.\nWithin a few days, the battered US & ROK units are pushed back to a last perimeter around the vital harbor of Busan …";"June 22nd-27th, 1987. Within a few hours, the first lines of defense are overwhelmed.\nWithin a few days, the battered US & ROK units are pushed back to a last perimeter around the vital harbor of Busan …"
"00b1bbb4:4df97cd6:e9de91b5:5b13afcb";"US";"Select the player from whose point of view you want to watch the replay unfold.";"Select the player from whose point of view you want to watch the replay unfold."
"00bb478b:4d178ce3:6900f8a4:90bc84bb";"US";"The situation is improving, sir.";"The situation is improving, sir."
"00be4a87:49b05621:f2d38d94:1676dc60";"US";"Game & Level Designers";"Game & Level Designers"
"00c91ebb:4d8baa2d:00bcbcbf:cfb654ee";"US";"9. Panzer went into combat in Normandy piecemeal and while still in the process of re-completing men & equipment. Some of its men were even still fighting in the East, only leaving Russia to join the fight in Normandy in mid-Summer. \nAlthough missing its Panther battalion and still fighting with old equipment, the 9. Panzer relies on battle-hardened troops and an unusually high number of light tanks to quickly blind and overwhelm the enemy.\nAnd with each passing phase, more experienced troops are made available, arriving straight from the East.";"9. Panzer went into combat in Normandy piecemeal and while still in the process of re-completing men & equipment. Some of its men were even still fighting in the East, only leaving Russia to join the fight in Normandy in mid-Summer. \nAlthough missing its Panther battalion and still fighting with old equipment, the 9. Panzer relies on battle-hardened troops and an unusually high number of light tanks to quickly blind and overwhelm the enemy.\nAnd with each passing phase, more experienced troops are made available, arriving straight from the East."
"00cb9340:45465a9f:a8f39491:eaafd8e3";"US";"Mort mystérieuse de Grigory Romanov";"The mysterious death of Grigory Romanov"
"00db84ff:4aa62a35:104bcb92:1236e17d";"US";"HIDE INFO";"HIDE INFO"
"00e508c6:4b08bbcf:aadd248a:fb15c86d";"US";"The tanks still aren't through, sir. The longer they're stuck here, the fewer will be able to reach Sainte-Mère on time.";"The tanks still aren't through, sir. The longer they're stuck here, the fewer will be able to reach Sainte-Mère on time."
"00f2c596:4490918f:2a78ccad:2b36b41f";"US";"They know they have to reduce our salient before we insert more troops,";"They know they have to reduce our salient before we insert more troops,"
"00f5a8f2:49275d68:a57e5e8a:6ec26db8";"US";"May";"May"
"00ffc822:4f73be2a:92ca0b99:3f7c48a8";"US";"To CAEN";"To CAEN"
"01048e11:4795b4c7:6ec75f8a:6c921f8a";"US";"Details...";"Details..."
"011840fb:4d33129b:898d0eae:94c04ace";"US";"\n\nCongratulations Cadet,\n\You are now commissioned in the following fields:\n\n  * Battlegroup composition\n  * Deployment phase\n  * Pre-battle planification\n  * Troops transport and disembarkation";"\n\nCongratulations Cadet,\n\You are now commissioned in the following fields:\n\n  * Battlegroup composition\n  * Deployment phase\n  * Pre-battle planification\n  * Troops transport and disembarkation"
"011963a6:426c5f1b:01d0ddad:a7faacbc";"US";"Screen space ambient occlusion (advanced lighintg effect).";"Screen space ambient occlusion (advanced lighting effect)."
"011d5e82:428d2142:da81b18f:f23a9368";"US";"Ready";"Ready"
"011d73e5:49bee0fb:bb6c36b7:24a19f00";"US";"WARNING SHOT";"WARNING SHOT"
"012fd8b1:4fb21af2:79e366aa:935fe7d0";"US";"Opération Polyarnaya Slava";"Operation Polyarnaya Slava"
"01325c97:455533c6:489ee7b9:c09f4a6f";"US";"With elite infantry supported by airborne light tanks and naval artillery, 6th Airborne owns Phase A.\nBut from Phase B, it must hold the conquered ground with its 17-pdr and air support.";"With elite infantry supported by airborne light tanks and naval artillery, 6th Airborne owns Phase A.\nBut from Phase B, it must hold the conquered ground with its 17-pdr and air support."
"01334296:480dad2d:2af2e8b3:2fad9622";"US";"Kicked by the server because your computer is too slow to play this game.";"Kicked by the server because your computer is too slow to play this game."
"013791fc:467dbece:0011a3a3:d56f091a";"US";"We seem to have landed at the boundaries between our 82nd & the 101st,";"We seem to have landed at the boundaries between our 82nd & the 101st,"
"014f0313:4d56615f:a9dea4a3:b7b4455c";"US";"Recon: Vehicule";"Recon: Vehicle"
"014fcdbf:47bd8848:d763cf8b:fb4fff4f";"US";"D'après plusieurs sources, Grigory Romanov, l'un des membres du triumvirat qui a pris le pouvoir à la mort de Tchernenko, serait décédé dans des conditions troubles. Une nouvelle lutte de pouvoir est prévisible et ses conséquences sur la guerre seront énormes.";"According to several sources, Grigory Romanov, one of the members of the triumvirate who seized power in the Kremlin, has died in strange circumstances.\n\nA new power struggle is expected, and the consequences on the war will be enormous."
"015768ea:431ef42e:76af80a0:537929bb";"US";"POINTS TO REACH";"POINTS TO ACHIEVE"
"017bda42:4a614ae6:f309dba9:0aa62292";"US";"Indicates the readiness status of the off-map asset.";"Indicates the readiness status of the off-map asset."
"01925f81:412ad66a:439002a9:06c2628f";"US";;
"01a2bc2f:4ef0318e:5bcfb1b1:88693dc1";"US";"Insurrection";"Uprising"
"01b401a6:473847be:cf2274b0:b51f95cf";"US";"Repel the ME 109 G0.";"Repel the ME 109 G0."
"01bb5bff:4b61853c:9fa491a6:a7968829";"US";"Do you really want to revert all your changes ?";"Do you really want to revert all your changes?"
"01c3ff7a:4ca32dfd:9fb976b3:9075ee32";"US";"Caen, June 6th 1944";"Caen, June 6th 1944"
"01d04e34:479fb4ea:c42f8190:c67e147b";"US";"DESTRUCTION";"DESTRUCTION"
"01da6651:4099498b:4f475c8c:e073ac48";"US";"The Germans are taking a foothold on the plateau, sir!";"The Germans are taking a foothold on the plateau, sir!"
"01ecdf31:4db9f739:19ca0dae:7d613e61";"US";"Beat a hard AI in skirmish mode";"Beat a hard AI in skirmish mode"
"01f112ea:4757fb1c:49aae7a0:93a27aa7";"US";"600mm Tir d’efficacité";"600mm Fire for Effect"
"01f1e123:4bf2dc45:f00575bc:a74c8edf";"US";"TYPE(S)";"TYPE(S)"
"01f9b5d8:4de1f030:4d1e9384:3e8aa9ea";"US";"\n Sir Colin,\n\n It is time for the 11th Armoured Division to take the lead, in preparation for the final assault on Hill 112. The Germans won't allow this to happen, and will strike at the 11th while it is vulnerable, en route to its concentration area.\n\nYour mission is to keep the « Scottish Corridor » open: secure the road, and protect the 11th Armoured's convoys. They must get through at all costs.\n\nThe Germans have been concentrating armoured troops on both sides of the corridor, so expect them to try to take you in a pincer movement.\n\n--------------\nMAIN OBJECTIVE\nProtect the 11th Armoured's convoy.";"\n Sir Colin,\n\n It is time for the 11th Armoured Division to take the lead, in preparation for the final assault on Hill 112. The Germans won't allow this to happen and will strike at the 11th while it is vulnerable, en route to its concentration area.\n\nYour mission is to keep the « Scottish Corridor » open: secure the road and protect the 11th Armoured's convoys. They must get through at all costs.\n\nThe Germans have been concentrating armoured troops on both sides of the corridor, so expect them to try to take you in a pincer movement.\n\n--------------\nMAIN OBJECTIVE\nProtect the 11th Armoured's convoy."
"01fe89c9:47150af1:99ede1a0:0d8da12e";"US";"DRAW";"DRAW"
"0202699d:4ebb2c62:b933ad80:795a300b";"US";"88, sir! We should silence it before advancing with armours or planes.";"88, sir! We should silence it before advancing with armours or planes."
"02028a73:445d22ee:c9c623ad:e6cefb15";"US";"356mm Tir d’efficacité";"356mm Fire for Effect"
"020afb38:4bb75ba4:b7377e98:51dd3c57";"US";"Random Allied Custom Battlegroup";"Random Allied Custom Battlegroup"
"0211a2c4:400b8217:38db09a1:eb9fe068";"US";"Invitation failed.";"Invitation failed."
"022142a4:4f458cba:3e7776ad:4a64e8c6";"US";"while the 90th is leading the charge West to cut the Cotentin in two.";"while the 90th is leading the charge West to cut the Cotentin in two."
"0229b185:40d05613:3c1c28b4:6b55c356";"US";"Here comes the Luftwaffe!";"Here comes the Luftwaffe!"
"022b37f0:42824188:b1404eb0:76d9eab8";"US";"Key %1 is already used.\nDo you want to overwrite it ?";"Key %1 is already used.\nDo you want to overwrite it?"
"022dc690:4aaf618d:183afdb2:c503abf4";"US";"Poor";"Poor"
"0267a025:4a8890af:319bccb7:0a07f45c";"US";"La prise de la capitale suédoise est une grande victoire à mettre à votre crédit. Vous gagnez 75 points de moral tant que nos troupes occupent cet objectif.";"Capturing the Swedish capital is a major victory which adds to your credit.\n\nYou gain 75 morale points for as long as our troops occupy this target."
"0268db11:43ba4d62:5bf4f7a6:b8eb5909";"US";"Rapport météo";"Weather report"
"027e55f1:4486d4ec:5e2bed89:a973cc69";"US";"12. SS-Panzer will support our offensive;";"12. SS-Panzer will support our offensive;"
"0287fc18:4fbad15e:825838a4:e743735e";"US";"OPPONENT RETREAT";"OPPONENT RETREAT"
"029d86b0:46a5583d:0d396a86:2f40b1a9";"US";"Hint 5";"Hint 5"
"02a09de6:44c4bbea:9f922992:26a7b059";"US";"Small";"Small"
"02aa1f3d:48800d13:ba74089a:0ca9b026";"US";"Spalling : driver wounded";"Spalling: driver wounded"
"02cac479:4ebd0ca5:bebbf5a4:44124188";"US";"We are losing control over Cheux, sir. We should send reinforcements to the city.";"We are losing control over Cheux, sir. We should send reinforcements to the city."
"02df3f9f:41a41e2f:bda3b995:cb8de8e4";"US";"We're running out of time, Herr Major, we MUST get through to Lion-sur-Mer quickly.";"We're running out of time, Herr Major, we MUST get through to Lion-sur-Mer quickly."
"02ebad6b:4f402305:8960dcb3:9079c948";"US";"Num Lock";"Num Lock"
"02ee3b7f:4784fb04:25e8c2a7:3a7a3f73";"US";"Code is invalid.";"Code is invalid."
"02fc5075:4ca6f312:4938d68a:ed1c03b5";"US";"VICTORY POINTS";"VICTORY POINTS"
"030b6bc9:4f687eb8:bf3d609d:69bdb69a";"US";"L'Islande sous les bombes";"Bombs fall on Iceland"
"03100e6b:4b6b739a:8d38eb9d:efcc3b54";"US";"Artillery observers can call in powerful off-map strikes. They can be identified by their dedicated icon.";"Artillery observers can call in powerful off-map strikes. They can be identified by their dedicated icon."
"0341791e:4cf97f2e:961632ba:f8f435e6";"US";"but reports indicate that British commandos have managed to take foot East of the Orne";"but reports indicate that British commandos have managed to take foot East of the Orne"
"0348002a:44aa6f87:17015592:872ef05d";"US";"Hard-pressed and panicked by a hostile crowd, an officer orders his troops to fire. In a matter of minutes, the shooting spreads all over the streets of Seoul …";"Hard-pressed and panicked by a hostile crowd, an officer orders his troops to fire. In a matter of minutes, the shooting spreads all over the streets of Seoul …"
"034ac40b:4a65ad46:a873d083:95da5134";"US";"Maximum number of teams reached.";"Maximum number of teams reached."
"034d1670:4898a616:2444e0aa:b9947289";"US";"HIDE INFO";"HIDE INFO"
"0352e068:48677922:b4442b86:4b652b8b";"US";"Infantry units";"Infantry units"
"035c47c9:4c1ccbe4:c04fb8bd:8397cdd3";"US";"#Arialbold{AMERICANS}:\n\n- #Arialbold{Hold} the isolated #Arialbold{Pointe du Hoc}.\n\n- #Arialbold{Capture} the German headquarter at the #Arialbold{castle}.\n\n\n#Arialbold{GERMANS}:\n\n- #Arialbold{Capture} the #Arialbold{Pointe du Hoc}.\n\n- #Arialbold{Protect} the headquarter set in the #Arialbold{castle}.";"#Arialbold{AMERICANS}:\n\n- #Arialbold{Hold} the isolated #Arialbold{Pointe du Hoc}.\n\n- #Arialbold{Capture} the German headquarters at the #Arialbold{castle}.\n\n\n#Arialbold{GERMANS}:\n\n- #Arialbold{Capture} the #Arialbold{Pointe du Hoc}.\n\n- #Arialbold{Protect} the headquarters set in the #Arialbold{castle}."
"035e8a01:49fe78a9:0e8f9388:d556aa18";"US";"Récupérer les escadrilles";"Retrieve the squadrons"
"0367d501:467a178a:abb72cb5:59d3eebd";"US";"Festung Groß-Paris regroups all the forces placed under general von Choltitz's authority to prevent Paris from falling to the Allies. Built around the weak 325. Sicherungs-Division, it amalgamated all units within the 'Greater Paris' area, a motley assortment of Flak units, disheartened desk-soldiers and die-hard SS, old Panzer I from security outfits and individual crack Panther or Tiger refitting from the Normandy campaign.";"Festung Groß-Paris regroups all the forces placed under General von Choltitz's authority to prevent Paris from falling to the Allies. Built around the weak 325. Sicherungs-Division, it amalgamates all units within the 'Greater Paris' area, a motley assortment of Flak units, disheartened desk-soldiers and die-hard SS, old Panzer I from security outfits, and individual crack Panthers or Tigers refitting from the Normandy campaign."
"0372229f:407a0a91:9d0974aa:d18c67de";"US";"Sorry, but this exercise is a failure. Please restart: it is essential that you apply what you've learnt to prove yourself worthy in a real SKIRMISH condition.";"Sorry, but this exercise is a failure. Please restart: it is essential that you apply what you've learnt to prove yourself worthy in a real SKIRMISH condition."
"03828195:4cab9284:d506109f:78b9995d";"US";"ANTI-TANK GUN";"ANTI-TANK GUN"
"0385661a:49538739:9257f7ac:a7e413a3";"US";"La tempête se déplace de l'Atlantique à la Scandinavie. Les opérations de reconnaissance aérienne sont affectées sur ce théâtre.";"The storm is moving from the Atlantic to Scandinavia. Aerial recon operations may be affected in this theater."
"0397fc41:4b454caf:804f46ba:147466d7";"US";"Fortunately, the 12. SS-Panzer’s offensive has started on schedule,";"Fortunately, the 12. SS-Panzer’s offensive has started on schedule,"
"03abb845:431e4653:d2f37788:88ff8273";"US";"The Taillebosq Bridge is defended by an armoured battlegroup from 2. SS-Panzer.";"The Taillebosq Bridge is defended by an armoured battlegroup from 2. SS-Panzer."
"03c0fa7a:4de4a3d0:17bdb3be:167fdc71";"US";"Far more better with the tubes..!";"Far more better with the tubes..!"
"03d24e28:4d5ff837:b9c8d6ba:af779115";"US";"210mm Tir d'alerte";"210mm Emergency Fire"
"03daab2f:4e7d2b0e:6ad54586:ef13927a";"US";"Retarder les opérations";"Delay operations"
"03eed8fb:4da60d5c:283644b5:f336a712";"US";"Efficient against infantry & soft-skin vehicles, they can still deal some damage to light armoured ones.";"Efficient against infantry & soft-skin vehicles, they can still deal some damage to light armoured ones."
"041afef9:4c0a0b6e:e0319288:532e43dc";"US";"To BURON";"To BURON"
"04203269:45625915:e39c12bc:f1d2fef0";"US";"%1";"%1"
"0429f573:468044c3:066502b8:51f00be1";"US";"Render reduction";"Render reduction"
"042f7801:401fc3e2:14cb45bb:ad460bc7";"US";"Reconnaissance de tous les secteurs de la carte.";"Reconnaissance of all map sectors."
"043292f5:47660356:ea271eaa:c5c80c67";"US";"Save your changes.";"Save your changes."
"0437cc99:4bc20f9e:d19c7e8e:a5b0bc74";"US";"L’URSS a accepté de ratifier la charte de Perez de Cuellar, et s’engage à ne pas utiliser d’armes nucléaires.";"The USSR has agreed to ratify the Perez de Cuellar charter, and pledges not to use nuclear weapons."
"04390e1b:4168710b:d7cf07b9:9e61e0ce";"US";"Finish the third mission of the UK campaign";"Finish the third mission of the UK campaign"
"043d2d80:433666fe:d79be182:efac301a";"US";"You have successfully put into practice the combination of INFANTRY and ARTILLERY units to regain advantage on the field.";"You have successfully put into practice the combination of INFANTRY and ARTILLERY units to regain the advantage on the field."
"043eab7f:42a54e85:8e97b887:3a637e5d";"US";"Le maréchal Nikolaï Ogarkov est le nouvel homme fort du camp socialiste. Il va nous donner tous les moyens de remporter une victoire... qu'il exigera totale et définitive sur les forces impérialistes.";"Marshal Nikolai Ogarkov is the new powerhouse in the socialist camp.\n\nHe is going to provide us with all the resources to win a victory...\n\nthat he is demanding should be total and definitive over the imperialist forces."
"04538a35:4a1ba6bc:7eb188ba:a63714ad";"US";"WAITING FOR PLAYERS";"WAITING FOR PLAYERS"
"0454c9d1:41ef31c0:ca7b2a86:351029ad";"US";"Mein Herr, the British have turned the bridge garrison's PaK 40 anti-tank gun against us. And they have the cheek to lecture people on fair-play...";"Mein Herr, the British have turned the bridge garrison's PaK 40 anti-tank gun against us. And they have the cheek to lecture people on fair-play..."
"045dcd0b:4637c7b5:e5d6d084:fdfc80cf";"US";"September";"September"
"0467267f:451eb497:d8b12f9a:409a9b17";"US";"Our forces got a minor defeat because our destruction points (%1pts) are under %2%% the sustainable losses of the enemy forces (%3pts).";"Our forces got a minor defeat because our destruction points (%1pts) are below %2%% of the enemy’s sustainable losses (%3pts)."
"0475f063:4d6fd8b5:1512c794:22f97b77";"US";"Bombardements navals et raids de commandos indisponibles pour 2 tours.";"Naval and commando raids unavailable for 2 days."
"04820e8a:426d72be:385189b4:1d68bf71";"US";"Carbine\nCan fire on the move.";"Carbine\nCan fire on the move."
"04a3f32d:4af24fa9:b22c9f97:63741c99";"US";"Nous pourrons influencer le durcissement ou la modération de la politique soviétique.";"We will be able to influence the hardening or moderation of Soviet politics."
"04a6cdd2:4aedac6a:aacf059d:e70b94f6";"US";"Envoyer du soutien aérien";"Send air support."
"04d2f0bb:41930b6e:01121c8e:ce0e3b7c";"US";;
"04e4d063:490a1dc9:ea3e358a:20f4564f";"US";"Doit-on dénoncer la violation de la neutralité suédoise au Conseil ? Seule la Chine peut opposer un véto, mais quel camp favorisera-t-elle : fraternité communiste ou ouverture à l'Ouest ?";"Should we denounce the violation of Swedish neutrality to the Council?\n\nOnly China can oppose a veto, but which side will China favor: communist solidarity or will it open up to the West?"
"04e741a3:437507b6:e7556699:40376b1d";"US";"It's over, Major. The 505th has been slaughtered.";"It's over, Major. The 505th has been slaughtered."
"04ff86fd:429edcbc:6cd73797:d87027b8";"US";"By logging in with your Paradox Account, information about your email address, date of birth, and country of residence will be shared and stored with Eugen Systems. For more information, please see our Privacy Policy : ";"By logging in with your Paradox Account, information about your email address, date of birth, and country of residence will be shared and stored with Eugen Systems. For more information, please see our Privacy Policy :"
"0500e52d:4d50719d:7198bdab:403a7ed0";"US";"Yes";"Yes"
"050e02e0:490c0209:dd4da292:c9abce1c";"US";"ADD FRIEND";"ADD FRIEND"
"051206af:45d1e5bd:97ac43bb:d32ffca8";"US";"Allows you to set the scaling of units.";"Allows you to set the scaling of units."
"0517e4c0:4af4ce8b:737fd9a7:088d49a0";"US";"LAUNCH GAME";"LAUNCH GAME"
"05215316:476b4c82:8c1a4cb8:ac57b618";"US";"1 bombardement aérien, 1 couverture aérienne, 1 bombardement naval supplémentaire disponibles.";"1 more air raid, 1 more aerial cover, 1 more naval raid available."
"0540e860:44907ac1:3682fdb1:4ff56ac7";"US";"Disconnected from game room";"Disconnected from game room"
"0546ce73:45b5ab06:f013c099:c5ebce0e";"US";"Order units to reverse to the selected position.";"Order units to reverse to the selected position."
"054868b1:4427bdd8:1971d38e:abaf1233";"US";"Main objective: Take & hold Hill 112";"Main objective: Take & hold Hill 112"
"054d6112:4e6d74dc:aa0cf58a:541bb495";"US";"Bombardements aériens, bombardements navals, raids de commandos, couvertures aériennes et mouilleurs de mines à nouveau disponibles. Gain d 4 bombardements navals et de 6 mouilleurs de mines supplémentaires disponibles.";"Air raids, naval raids, commando raids, aerial covers and minelayers are available again. 4 more naval raids and 6 more minelayers gained and available."
"05510a29:4f2bc71c:9b6d35bb:760bbf97";"US";"What 7th Armoured's Cromwells lack in resilience over other divisions' Shermans, they're making up with mobility : the Desert Rats are made to strike fast and always keep moving. More than anybody, they better deal the blow than receive it. If they are not entirely familiarized with the Cromwell, the same isn't true for older equipment used in the desert, with which they truly shine.";"What 7th Armoured's Cromwells lack in resilience over other divisions' Shermans, they're making up for with mobility: the Desert Rats are made to strike fast and to always keep moving. More than any other, they are better at dealing the blow than receiving it. If they are not entirely familiarised with the Cromwell, the opposite can be said for the older equipment used in the desert, with which they truly shine."
"05574367:48ceff1c:8b842e8c:d91af007";"US";"June 19th-21st, 1987. The crackdown is brutal, resulting in over a thousand casualties and many more arrests.";"June 19th-21st, 1987. The crackdown is brutal, resulting in over a thousand casualties and many more arrests."
"05609d16:46bd67cb:fdd489a7:5f7663ae";"US";"We have also received artillery observers (OP) who may call long-range heavy artillery strike. These strikes are very efficient but take some time to be effective.";"We have also received artillery observers (OP) who may call long-range heavy artillery strike. These strikes are very efficient but take some time to be effective."
"0579b523:4c50cc0d:e8773ea6:f675c9cd";"US";"New password";"New password"
"057e8bee:41ed6e32:bca3db85:61dd2dfc";"US";;
"059ba332:46af516b:fbfd7a80:b9d1fb4b";"US";"Our forces got a major victory because the destruction points of our enemy (%1pts) are under %2%% of our sustainable losses (%3pts).";"Our forces got a major victory because our enemy’s destruction points (%1pts) are below %2%% of our sustainable losses (%3pts)."
"059d878f:4c122d28:a677e2a4:f4470730";"US";"EXIT";"EXIT"
"059e9aca:4c364fe1:db91129e:106003a2";"US";"F5";"F5"
"05a801a1:4656135e:022cce8e:7c241631";"US";"VIEW PROFILE";"VIEW PROFILE"
"05af0d09:40a36dc4:1ad76e89:5ee42f4e";"US";"Le VIIe corps US parvient pour l'instant à contenir l'offensive tchèque.";"The US 7th Corps is currently managing to contain the Czech offensive."
"05b3b321:4cc7270a:995fd1b6:da715027";"US";"GET MAP CONTROL (%s)";"GET MAP CONTROL (%s)"
"05b9b784:496eb284:7e1f09b6:7eaf0034";"US";"4th ID talking. We are under barrage fire, we can't move forward!";"4th ID talking. We are under barrage fire, we can't move forward!"
"05ca58ea:49da5e84:24887ba1:ff911096";"US";"Excellent";"Excellent"
"05e1bf67:4fe025ac:440d9cae:c740b469";"US";"- Victory is determined by the number of #Arialbold{objectives} secured. If a side controls #Arialbold{all} the objectives, a countdown to sudden death initiates.\n\n- Check your #Arialbold{division's income} to know if you're getting #Arialbold{phase} income or #Arialbold{countdown} income.\n\n- #Arialbold{Ally} player(s) loses if sustaining too many casualties.";"- Victory is determined by the number of #Arialbold{objectives} secured. If a side controls #Arialbold{all} the objectives, a countdown to sudden death initiates.\n\n- Check your #Arialbold{division's income} to know if you're getting #Arialbold{phase} income or #Arialbold{countdown} income.\n\n- #Arialbold{Ally} players lose if they sustain too many casualties."
"05f1d26a:45c7e156:13b469a8:3ad7ec23";"US";"This exercise will focus on combat in field conditions.\n\You will be taught:\n\n  * Combat phases\n  * Victory conditions (conquest mode)";"This exercise will focus on combat in field conditions.\n\You will be taught:\n\n  * Combat phases\n  * Victory conditions (conquest mode)"
"061f680d:4b7e4e96:74298ea8:617c8756";"US";"Les déploiements au nord de la Baltique sont impossibles ce tour.";"Deployments from Leningrad are impossible for this turn."
"0636d11f:46ab82eb:7303bd9a:6ca0c54f";"US";"Motorized";"Motorized"
"063eafd2:4063e026:8af41f8b:4a9a219f";"US";"The battle stopped because enemy last command unit on the battlefield has been destroyed.";"The battle stopped because the enemy’s last command unit on the battlefield has been destroyed."
"063edfe9:453d93ed:4ce5229d:e79957e4";"US";"The 505th is decimated, Major, they won't be able to take such punishment for very much longer.";"The 505th is decimated, Major, they won't be able to take such punishment for very much longer."
"065d2614:4b5e7699:83d2bfbc:d95db6cd";"US";"The #coloredtext4{ANTI-AIR} units' role is to protect your ground units on the battlefield.\nMost #coloredtext4{AA} units serve to suppress enemy planes and force them to evacuate the area.";"The #coloredtext4{ANTI-AIR} units' role is to protect your ground units on the battlefield.\nMost #coloredtext4{AA} units serve to suppress enemy planes and force them to evacuate the area."
"06632719:4b291e90:01b360be:382ade78";"US";"Cela favorisera le clan Ogarkov, partisan de l'escalade non-conventionnelle.";"This will help Ogarkov's clan in favour of escalation and the use of non-conventional weapons."
"0663c1d2:4884c853:be861292:4a78683e";"US";"NO CLEAR SIGHT";"NO CLEAR SIGHT"
"068a29fe:4bba451d:4e461988:536fcfb4";"US";"Enlisting as a private around 1910, Huebner was commissioned officer in November 1916, a few month before America's involvement in WW1. Shipped to France, he was a member of the original « Big Red One » at its creation in May 1917. Ending the war as one of the youngest American colonels, he remained with the Army in the Interwar. In 1943, although having held no command since the American entry in WW2, he was given command of that same prestigious, but unruly, 1st Infantry Division with which he had first fought. Training it relentlessly, he led it into battle from Normandy to Hurtgen Forrest in Germany before being promoted at the head of V. Corps in January 1945, with which he made first contact with the Soviets on the Elbe River.";"Enlisting as a private around 1910, Huebner was commissioned officer in November 1916, a few months before America's involvement in WW1. Shipped to France, he was a member of the original « Big Red One » at its creation in May 1917. Ending the war as one of the youngest American colonels, he remained with the Army in the Interwar. In 1943, although having held no command since the American entry in WW2, he was given command of that same prestigious, but unruly, 1st Infantry Division with which he had first fought. Training it relentlessly, he led it into battle from Normandy to Hurtgen Forest in Germany before being promoted to the head of V. Corps in January 1945, with which he made first contact with the Soviets on the Elbe River."
"069a0247:4c7b4f2d:c52149b7:5d162905";"US";"Let's keep that Scottish Corridor open, sir.";"Let's keep that Scottish Corridor open, sir."
"06c9801a:417bf619:1e146b81:6baccd9a";"US";"led by the freshly arrived 12. SS-Panzer.";"led by the freshly arrived 12. SS-Panzer."
"06d027e8:4619fdcb:ada2fb82:98b3dafc";"US";"Veteran";"Veteran"
"06d86ee8:46c9ba11:bb2ab881:c63ee492";"US";"Rename a save";"Rename a save"
"06d8f1ad:4da98a59:43f84789:82548a96";"US";"DevOps";"DevOps"
"06e05ebe:4d4585d4:ba833e9a:b0caede9";"US";"THE FIREBUG";"THE FIREBUG"
"06eea415:4fa9ac5e:3deb2ab2:b0147d8a";"US";"The passwords you entered do not match. Passwords must be the same.";"The passwords you entered do not match. Both passwords must be the same."
