"TOKEN";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"REFTEXT";"CLASSEMENT";"ExisteDansSlayer"
"GER_M03_14";"       ";"-J--j";;"英軍,カナダ軍の橋頭堡間にくさびを打ち込むことだ.";"thus driving a wedge between the British and Canadians’ beachheads.";
"GER_M03_15";"       ";"-J--j";;"そうすれば,新たに到着した第12SS装甲師団を率いる,";"Then, they’ll be easy prey for our follow-up offensive,";
"GER_M03_16";"       ";"-J--j";;"掃討戦において,彼らはたやすい獲物となるだろう.";"led by the freshly arrived 12. SS-Panzer.";
"GER_M03_17";"       ";"-J--j";;"リオン＝シュル＝メール(Lion-sur-Mer)はたった数キロ先だ";"Lion-sur-Mer is only a few kilometres ahead,";
"GER_M03_18";"       ";"-J--j";;"しかし到達するには,別の英軍空挺旅団を突破しなければならない.";"but to reach it, we’ll have to walk over another British airborne brigade.";
"GER_M03_19";"       ";"-J--j";;"そのために,カンプフグルッペ タネンベルクの突撃兵が支援するだろう.";"To do so we will be supported by Sturmartillerie’s Kampfgruppe Thannenberg.";
"GER_M03_20";"       ";"-J--j";;"空は王立空軍が支配している";"The Royal Air Force dominates the sky";
"GER_M03_21";"       ";"-J--j";;"そして地上の連合軍に,出来るかぎりの支援を与えるだろう.";"and will give Allied ground troops all the support it can.";
"GER_M03_22";"       ";"-J--j";;"英軍空挺兵は我らを止められないことを知っているが,時間は彼らに味方する:";"The British paratroopers are aware they can’t stop us, but time plays for them:";
"GER_M03_23";"       ";"-J--j";;"彼らが必要とするものは,増援部隊が来るまでに必要な時間を稼ぐことだ.";"all they need is to delay us long enough for reinforcements to come to their rescue.";
"GER_M03_24";"       ";"-J--j";;"もし我らが,空挺兵を速やかに排除できなければ";"If we don't get rid of the paratroopers fast enough,";
"GER_M03_25";"       ";"-J--j";;"側面に回り込まれてしまう危険な状況がおきる.";"we will be in danger of being outflanked.";
"GER_M03_26";"       ";"-J--j";;"従って,我らの作戦は,出来るかぎり多くの部隊を伴ってリオン＝シュル＝メール(Lion-sur-Mer)に達し";"Hence, our mission is to reach Lion-sur-Mer with as many troops as possible";
"GER_M03_27";"       ";"-J--j";;"効果的に連合軍の橋頭堡を二つに分断することである.";"to effectively cut the Allied beachhead in two.";
"GER_M03_28";"       ";"-J--j";;"それらは,我らが頼れる部隊の全てとなるだろう";"Those troops will be all we can count on";
"GER_M03_29";"       ";"-J--j";;"第12SS装甲師団が打撃を与えるまでの.";"until the 12. SS-Panzer delivers its blow.";
"GER_M04_01";"       ";"-J--j";;"リオン＝シュル＝メール(Lion-sur-Mer)は,我らの手の届くところにある, ハイル 少佐. さて,我らにどれだけ残されたのか…";"Lion-sur-Mer is in our reach, Herr Major. Well, for what is left of us...";
"GER_M04_02";"       ";"-J--j";;"カンプフグルッペン混成部隊の一部だけから構成された,";"Since only parts of our combined Kampfgruppen have made it,";
"GER_M04_03";"       ";"-J--j";;"それとオベルスト・アッペルンは今朝負傷した,";"and with Oberst Oppeln being wounded this morning,";
"GER_M04_04";"       ";"-J--j";;"貴官は次に戦いにむけて,第21装甲部隊の残り全ての指揮を執らなければならない.";"you are to take command of all remaining 21. Panzer's elements in the upcoming battle.";
"GER_M04_05";"       ";"-J--j";;"英軍とカナダ歩兵部隊は,リオン＝シュル＝メール(Lion-sur-Mer)近郊の元の位置より退却した.";"British & Canadian infantry divisions have fallen back around Lion-sur-Mer for a last stand.";
"GER_M04_06";"       ";"-J--j";;"都合良く,第12SS装甲師団は予定通り攻撃を開始し,";"Fortunately, the 12. SS-Panzer’s offensive has started on schedule,";
"GER_M04_07";"       ";"-J--j";;"我ら後方のレジスタンスポケットを掃討した.";"and wiped out any resistance pocked in our rears.";
"GER_M04_08";"       ";"-J--j";;"我らは,連合軍橋頭堡に対する最終決戦において,";"We will be able to count on their support";
"GER_M04_09";"       ";"-J--j";;"彼らの支援を期待できるだろう.";"for the final assault on the Allied beachhead.";
"GER_M04_10";"       ";"-J--j";;"我らは元の場所に戻ってきました, ハイル少佐.";"We’re back where we started, Herr Major.";
"GER_M04_11";"       ";"-J--j";;"アングロ-カナダ人は追い詰められ,背後には海しかありません.";"The Anglo-Canadians are cornered, their backs to the sea.";
"GER_M04_12";"       ";"-J--j";;"しかし彼らは,ダンケルクの時のように,撤退しようとはしてなさそうです.";"Yet they certainly don’t seem to be trying to evacuate, like at Dunkirk.";
"GER_M04_13";"       ";"-J--j";;"報告によると,彼らは反攻作戦のためにエルマンヴィルの北に部隊を集めています.";"Reports indicate that they are gathering troops North of Hermanville for a counter-offensive.";
"GER_M04_14";"       ";"-J--j";;"彼らは再び橋頭堡を広げ,主導権を得よう企てています.";"They intend to regain the initiative to expand the beachhead again.";
"GER_M04_15";"       ";"-J--j";;"我らへの命令は,それを阻止し,";"Our orders are not only to prevent that,";
"GER_M04_16";"       ";"-J--j";;"さらに部隊を連れてくる前に踏みつぶすことです.";"but to squash it before they can bring any more troops.";
"GER_M04_17";"       ";"-J--j";;"勝利は,一日の終わりに,どちらがより多くの支配地域を保持するかによって決定されるだろう, ハイル少佐.";"Victory will be decided by who holds more ground at the end of the day, Herr Major.";
"GER_M04_18";"       ";"-J--j";;"第12SS装甲師団が我らの攻勢を支援するために;";"12. SS-Panzer will support our offensive;";
"GER_M04_19";"       ";"-J--j";;"小規模の戦車大隊を,貴官の指揮下へ委譲した";"they’ve even detached a small armoured squadron under your command";
"GER_M04_20";"       ";"-J--j";;"我らのそれまでの損失を埋め合わせるために.";"to make up for our previous loss.";
"GER_M04_21";"       ";"-J--j";;"その新型装備は,われらの部隊に大きな支援をもたらすだろう.";"Their brand new equipment will be a major addition to our forces.";
"UK_FIN_01";"        ";"-J--j";;"112高地は我々のものだ,我らが支払った代償に見合うだけの価値があることを願おう.";"Hill 112 is ours, let's hope it was worth the price we've paid for it.";
"UK_FIN_02";"        ";"-J--j";;"ドイツ軍はもうこれ以上カーン周辺を支配することは出来なくなるだろう.";"The Germans won't be able to hold around Caen anymore,";
"UK_FIN_03";"        ";"-J--j";;"ついに広原に足を踏み入れつつある:";"now we are entering open country:";
"UK_FIN_04";"        ";"-J--j";;"機甲師団を解き放つ時が来たのだ.";"it is time to unleash our armoured forces.";
"UK_M01_01";"        ";"-J--j";;"6月6日,ダンケルクから丸4年";"On June 6th, almost four years to the day after Dunkirk,";
"UK_M01_02";"        ";"-J--j";;"我らはフランスの地に戻った.";"our men landed back in France.";
"UK_M01_03";"        ";"-J--j";;"敵の猛烈な抵抗や反撃にも関わらず,";"Despite heavy enemy resistance and counter-attacks,";
"UK_M01_04";"        ";"-J--j";;"我々は機甲部隊を展開した強力な橋頭堡を設置した.";"we have established a strong beachhead into which armoured troops have been introduced.";
"UK_M01_05";"        ";"-J--j";;"数週間にも渡り,モントゴメリー将軍のマスタープランに沿って,";"In the weeks to follow, in accordance with General Montgomery's master plan,";
"UK_M01_06";"        ";"-J--j";;"その機甲部隊はカーン周辺のドイツ軍エリート装甲師団に注意を向け続けている.";"those armoured forces have been focusing their attention on the German elite Panzer divisions around Caen.";
"UK_M01_07";"        ";"-J--j";;"カーンはD-Day当日に手に入れている筈だったが,";"Caen should have been secured on D-Day,";
"UK_M01_08";"        ";"-J--j";;"これまでの所,我々の全ての試みは失敗してきた.";"but all our attempts so far have failed.";
"UK_M01_09";"        ";"-J--j";;"我々は第三帝国屈指の重武装師団と対峙している";"We are facing the heaviest and best divisions the Third Reich has to offer:";
"UK_M01_10";"        ";"-J--j";;"SS装甲師団の百戦錬磨の兵たちなら";"SS-Panzer-Divisions, battle-hardened men who would prefer to die";
"UK_M01_11";"        ";"-J--j";;"降伏よりも戦死することを厭わないだろう.";"than surrender an inch of ground.";
"UK_M01_12";"        ";"-J--j";;"しかし第8軍団の到着と共に膠着状態も終わりを迎えるだろう.";"But the stalemate is about to come to an end, with the arrival of VIII. Corps.";
"UK_M01_13";"        ";"-J--j";;"真新しい師団は,この手詰まりな状況を打破するのに必要な力を我々に与えてくれる筈だ.";"Its fresh divisions will provide us with the strength needed to break this deadlock.";
"UK_M01_14";"        ";"-J--j";;"第15歩兵(スコティッシュ)師団は戦闘の先陣を切る名誉を与えられた,";"The 15th Scottish Division will have the honour of leading the assault,";
"UK_M01_15";"        ";"-J--j";;"作戦目標:112高地はカーンを見渡せる小高い丘である.";"the objective being Hill 112, a small height overlooking Caen.";
"UK_M01_16";"        ";"-J--j";;"112高地こそ”ノルマンディの鍵”なのである:";"Hill 112 is the “Key to Normandy”:";
"UK_M01_17";"        ";"-J--j";;"手に入れさえすれば,ドイツ軍はカーンを占領し続けられないだろう.";"once in our hands, the Germans will be unable to hold Caen.";
"UK_M01_18";"        ";"-J--j";;"112高地にたどり着く前に,";"But before reaching Hill 112,";
"UK_M01_19";"        ";"-J--j";;"貴官の第46(ハイランド)旅団は,シュー村の主要な交差路を確保しなければならない";"your 46th (Highland) Brigade will have to secure Cheux, a major crossroads";
"UK_M01_20";"        ";"-J--j";;"そこは,ドイツ軍にとっての防衛の要になっている.";"which happens to be a strongpoint of the German main line of defence.";
"UK_M01_21";"        ";"-J--j";;"貴官の任務への支援として";"To help you in your task,";
"UK_M01_22";"        ";"-J--j";;"第31機甲旅団よりチャーチル戦車が侵攻を支援することになる.";"Churchill tanks from the 31st Tank Brigade will be supporting your advance.";
"UK_M01_23";"        ";"-J--j";;"我々は第12SS装甲師団と対峙している.";"The enemy we are facing is the 12. SS-Panzer-Division.";
"UK_M01_24";"        ";"-J--j";;"≪ひよっこ師団≫,我々がからかい半分にそう呼んでいるが";"The «Baby Division», as we used to call it, mockingly;";
"UK_M01_25";"        ";"-J--j";;"その10代の若者達は古参兵と同じくらい屈強であることを彼ら自身が証明してみせた";"but those teenagers have proven themselves to be as tough as the most battle-hardened veterans,";
"UK_M01_26";"        ";"-J--j";;"さらに,より狂信的であることも.";"and more fanatical.";
"UK_M01_27";"        ";"-J--j";;"擲弾兵らによる激しい抵抗と";"Expect heavy resistance for the city itself from the Panzergrenadiers";
"UK_M01_28";"        ";"-J--j";;"失った陣地を取り戻すため装甲車両による反撃が予想される";"and armoured counter-attacks to recapture any lost position.";
"UK_M01_29";"        ";"-J--j";;"情報機関によると,第21装甲師団が近郊に駐留しているとの報告もあり";"Intelligence also reports the presence nearby of elements from 21. Panzer";
"UK_M01_30";"        ";"-J--j";;"第101SS重戦車大隊(SS-Panzer-Abteilug 101)も戦闘に加わるだろう";"and heavy SS-Panzer-Abteilung 101 which could join the fight.";
"UK_M01_31";"        ";"-J--j";;"いかなる損害を被っても,シュー村を確保することが";"It is vital that you hold Cheux, at any cost";
"UK_M01_32";"        ";"-J--j";;"将来,第112高地攻略への足がかりとなろう,本作戦の核心部分である";"for it will be the springboard of our future offensive toward Hill 112.";
"UK_M01_33";"        ";"-J--j";;"エプソム作戦は明日夜明けと共に開始する,準備はよいか,ジェントルマン.";"Operation Epsom starts tomorrow at dawn. Be ready, gentlemen.";
"UK_M02_01";"        ";"-J-pj";;"ドイツ軍戦線は後退しつつあるが,未だ突破には至っていない.";"The German front is yielding but has yet to break.";
"UK_M02_02";"        ";"-J--j";;"我々の師団が食い込んだ突出部は112高地に手が届く所までに至るが";"The salient that our division has dug into has brought us within reach of Hill 112,";
"UK_M02_03";"        ";"-J--j";;"我らの行く手を塞ぐ大きな壁: オドン川.";"but one major obstacle stands in our way: the Odon river.";
"UK_M02_04";"        ";"-J--j";;"ドイツ軍が再び足を踏み入れる前に橋梁を確保し";"We have to secure a crossing before the Germans regain their footing";
"UK_M02_05";"        ";"-J--j";;"防衛ラインとして活用せよ.";"and use it as a line of defence.";
"UK_M02_06";"        ";"-J--j";;"ドイツ軍は管轄内のあらゆる装甲車両を我々に振り向ける.";"The Germans have redirected every armoured unit in the sector towards us.";
"UK_M02_07";"        ";"-J--j";;"彼らは橋梁を守るだけではなく";"Not only are they protecting the river crossings,";
"UK_M02_08";"        ";"-J--j";;"失った陣地の再奪取を目論んでいるようだ.";"but they seem intent on retaking lost ground.";
"UK_M02_09";"        ";"-J--j";;"我々の作戦目標は少なくとも１つの橋梁を確保すること";"Our mission is to secure at least one of those bridges";
"UK_M02_10";"        ";"-J--j";;"そしてオドン川対岸に橋頭堡を設置すること.";"and establish a beachhead on the other side of the Odon.";
"UK_M02_11";"        ";"-J--j";;"それは良好なドイツ装甲部隊の一部と真正面から戦闘する事になるだろう!";"It will be a head-on clash with some of the best German armoured units!";
"UK_M02_12";"        ";"-J--j";;"どこの橋梁を選ぶかは貴官に任されている,ジェネラル.";"The choice of the point of crossing is left to you, General.";
"UK_M02_13";"        ";"-J--j";;"貴官が占領する橋ごとに,支援部隊は進軍を待っている.";"Support battlegroups are waiting to advance, depending on which you secure.";
"UK_M02_14";"        ";"-J--j";;"タイユボスク橋(Taillebosq)は,第2SS装甲師団によって守られている.";"The Taillebosq Bridge is defended by an armoured battlegroup from 2. SS-Panzer.";
"UK_M02_15";"        ";"-J--j";;"このエリアは殆どが射線が通りやすい開豁地である.";"The area is mostly open country, with a wide range of fire.";
"UK_M02_16";"        ";"-J--j";;"ポンヌフ(Pont Neuf)は,砲兵支援を受けた歩兵部隊によって守られている.";"Pont Neuf is guarded by infantry with artillery support";
"UK_M02_17";"        ";"-J--j";;"さらに,第1SSと第22装甲師団から装甲車両も駆けつけている.";"and a few armoured vehicles from 1. SS-Panzer & 21. Panzer.";
"UK_M02_18";"        ";"-J--j";;"橋梁は濃密な森の中に掛けられている.";"The bridge lies in an extremely wooded area.";
"UK_M02_19";"        ";"-J--j";;"メアイユ橋(Mehaye)は,我が宿敵,第12SS装甲師団によって維持され,";"The Mehaye Bridge is held by our old nemesis from 12. SS-Panzer,";
"UK_M02_20";"        ";"-J--j";;"大部分の装甲擲弾兵は,パンツァーの支援を受けている.";"mostly Panzergrenadier supported by a few Panther tanks.";
"UK_M03_01";"        ";"-J--j";;"我々はオドン川(Odon)を渡る橋頭堡を築き,";"We have our bridgehead across the Odon,";
"UK_M03_02";"        ";"-J--j";;"そのとても細い橋には,仲間の部隊から'スコットランド街道'とあだ名が付けられていた.";"already dubbed the “Scottish Corridor” by the rest of the Army, it being so thin.";
"UK_M03_03";"        ";"-J--j";;"ドイツ軍が脅威に対し見誤った事は無く";"But the Germans haven’t failed to recognise the threat,";
"UK_M03_04";"        ";"-J--j";;"持てる全ての装甲師団を我々に向けて集めているところだ.";"and are concentrating all of their armoured divisions against us.";
"UK_M03_05";"        ";"-J--j";;"彼らは,我々が部隊を投入する前に,この突出部を縮小しなければ";"They know they have to reduce our salient before we insert more troops,";
"UK_M03_06";"        ";"-J--j";;"112高地を失ってしまうことを知っている.";"or lose Hill 112 before too long.";
"UK_M03_07";"        ";"-J--j";;"第11機甲師団は,112高地に向けた最終攻撃の先導を切っているだろう.";"11th Armoured Division will be taking the lead for the final push towards Hill 112.";
"UK_M03_08";"        ";"-J--j";;"我々の作戦目標は,彼らの為に道を開け続けることだ.";"Our mission is to keep the road open for them.";
"UK_M03_09";"        ";"-J--j";;"ドイツ軍は,スコットランド街道の両側に部隊を集結させている.";"The Germans have been massing troops on both sides of the «Scottish Corridor».";
"UK_M03_10";"        ";"-J--j";;"彼らは今にでも攻撃してくることが予想される.";"They are expected to strike at any time now.";
"UK_M03_11";"        ";"-J--j";;"東方は,第1SSと第21装甲師団からの分遣隊,カンプフグルッペ・フレイ.";"In the East, Kampfgruppe Frey, from 1. SS & 21. Panzer Division.";
"UK_M03_12";"        ";"-J--j";;"西方は,第2SSと第2装甲師団からの分遣隊,カンプフグルッペ・ヴァイディンガー.";"In the West, Kampfgruppe Weidinger, from 2. SS & 2. Panzer Division.";
"UK_M03_13";"        ";"-J--j";;"我らへの命令は窮地にある彼らを守り";"Our orders are to keep them at bay";
"UK_M03_14";"        ";"-J--j";;"112高地への最終攻勢を可能にするために";"and make sure enough of the 11th Armoured get through";
"UK_M03_15";"        ";"-J--j";;"さらに,十分な数の第11機甲師団の通過を確保することである.";"to be able to launch the final offensive against Hill 112.";
"UK_M04_01";"        ";"-J--j";;"第11機甲師団によるオドン南にむけた,最後の10日間の攻勢で,";"In the last 10 days since the 11th Armoured has led the charge South of the Odon,";
"UK_M04_02";"        ";"-J--j";;"ドイツ軍をカルピケやカーンを含む至る所で退却させたが,";"the Germans have fallen back everywhere, including Carpiquet and half of Caen,";
"UK_M04_03";"        ";"-J--j";;"彼らは未だ112高地の頂上に陣取っている!";"but they are still on top of Hill 112!";
"UK_M04_04";"        ";"-J--j";;"第11機甲師団は損耗が激しいため離脱しつつあり,我々が再び戦線を維持しているところだ.";"11th Armoured Division is being withdrawn due to heavy losses. We’re holding the line again.";
"UK_M04_05";"        ";"-J--j";;"デンプシー将軍は,112高地攻略の別の手を命令した.";"General Dempsey has ordered another attempt to be made against Hill 112.";
